feature,score
day_gap_before
day_gap_after
***uc_use_rate,244
***merchant_coupon_avg_use_gap_time,145
***coupon_avg_use_gap_time,133
coupon_got_used_rate,131
user_each_merchant_not_use_div_all_merchant,131
***merchant_difft_user_use_rate,128
***user_each_merchant_not_use_div_all,119
***coupon_come_up,116
***merchant_got_and_use_rate,115
***ave_user_use_merchant_coupon,104
user_get_merchant_coupon_use_rate,103
***merchant_coupon_mean_distance,98
***uc_use,89
user_each_merchant_use_div_all_merchant,89
***uc_got,89
merchant_mean_disc_rate,87
distance,80
merchant_avg_difft_coupon_was_used,75
merchant_got,73
user_get_merchant_coupon_use_num,70
user_get_merchant_coupon_num,64
user_each_merchant_use_div_all,60
merchant_got_not_use,59
coupon_got_used,58
user_get_merchant_coupon_not_use_num,55
merchant_difft_coupon_rate,51
***coupon_rate_y,50
***use_num_divide_not_use_num,49
merchant_max_disc_rate,45
off_not_buy_div_all_not_buy,45
merchant_got_and_use,44
merchant_difft_coupon_used,43
off_get_div_all_get,42
this_month_user_receive_all_coupon_count,36
this_month_user_receive_same_coupn_count,36
coupon_rate_x,35
coupn_lowest_gp,32
action_rate,32
user_online_action_num,30
user_get_coupon_num,27
mean_use_disc_rate,26
user_not_buy_num,26
off_buy_div_all_buy,26
merchant_min_disc_rate,24
user_buy_num,22
merchant_coupon_max_distance,20
mean_distance,17
max_distance,17
ave_on_difft_merht,16
on_user_use_coupon_rate,15
max_use_disc_rate,14
buy_rate,13
``merchant_coupon_min_distance,12
user_received_not_use,12
200_500_use_rate,10
user_use_coupon,9
diff_coupon_num,9
min_use_disc_rate,9
this_month_user_receive_same_coupon_firstone,9
this_day_receive_all_coupon_count,7
this_month_user_receive_same_coupon_lastone,7
diff_merht_num,5
min_distance,4
coupon_type,2
this_day_user_receive_same_coupon_count,2
200_500_use_all_rate,2
